Date,Narration,Chq./Ref.No.,Value Dt,Amount,Closing Balance
2025-04-01,Utilities Payment,704204,2025-04-03,437.33,4562.67
2025-04-03,Salary Deposit,349159,2025-04-05,4677.45,9240.12
2025-04-04,Salary Deposit,434565,2025-04-06,1372.45,10612.57
2025-04-07,Salary Deposit,915613,2025-04-09,2925.66,13538.23
2025-04-09,ATM Withdrawal,393693,2025-04-12,94.0,13444.23
2025-04-10,Online Shopping,292201,2025-04-12,860.49,12583.74
2025-04-11,Grocery Store,327880,2025-04-14,425.55,12158.19
2025-04-14,Salary Deposit,314724,2025-04-17,4435.59,16593.78
2025-04-17,ATM Withdrawal,798484,2025-04-18,812.4,15781.38
2025-04-20,Salary Deposit,399726,2025-04-21,3623.57,19404.95
2025-04-22,Utilities Payment,181053,2025-04-24,250.61,19154.34
2025-04-25,Grocery Store,946966,2025-04-28,402.05,18752.29
2025-04-28,Salary Deposit,180061,2025-05-01,1528.24,20280.53
2025-04-30,ATM Withdrawal,734023,2025-05-01,265.87,20014.66
2025-05-03,Grocery Store,848589,2025-05-05,811.66,19203.0
2025-05-06,Online Shopping,441323,2025-05-07,444.15,18758.85
2025-05-09,Utilities Payment,789636,2025-05-11,397.18,18361.67
2025-05-11,Online Shopping,186218,2025-05-12,971.16,17390.51
2025-05-14,Grocery Store,684409,2025-05-17,46.55,17343.96
2025-05-15,Online Shopping,417904,2025-05-16,839.17,16504.79
2025-05-16,Utilities Payment,162346,2025-05-18,413.27,16091.52
2025-05-18,Utilities Payment,973327,2025-05-21,862.59,15228.93
2025-05-19,Online Shopping,456113,2025-05-21,370.44,14858.49
2025-05-22,ATM Withdrawal,310486,2025-05-23,745.86,14112.63
2025-05-23,Grocery Store,536778,2025-05-24,42.68,14069.95
2025-05-24,Grocery Store,368612,2025-05-27,287.03,13782.92
2025-05-25,Grocery Store,698902,2025-05-26,982.22,12800.7
2025-05-28,Online Shopping,409041,2025-05-30,998.51,11802.19
2025-05-30,ATM Withdrawal,459120,2025-06-01,282.35,11519.84
2025-05-31,Online Shopping,567228,2025-06-02,220.41,11299.43
2025-06-02,Online Shopping,497151,2025-06-05,813.07,10486.36
2025-06-05,Salary Deposit,597931,2025-06-08,4021.5,14507.86
2025-06-06,Online Shopping,786055,2025-06-07,460.43,14047.43
2025-06-09,Online Shopping,280672,2025-06-10,809.21,13238.22
2025-06-12,Online Shopping,747008,2025-06-13,493.28,12744.94
2025-06-13,ATM Withdrawal,853871,2025-06-16,423.27,12321.67
2025-06-14,Online Shopping,890706,2025-06-17,251.13,12070.54
2025-06-16,Utilities Payment,187518,2025-06-17,206.76,11863.78
2025-06-19,Grocery Store,988399,2025-06-22,414.17,11449.61
2025-06-22,Grocery Store,384113,2025-06-23,971.8,10477.81
2025-06-23,Salary Deposit,851654,2025-06-26,3200.59,13678.4
2025-06-24,Grocery Store,381997,2025-06-25,279.52,13398.88
2025-06-26,Salary Deposit,100613,2025-06-29,2122.74,15521.62
2025-06-29,ATM Withdrawal,715152,2025-07-01,113.54,15408.08
2025-07-01,Online Shopping,263022,2025-07-02,323.81,15084.27
2025-07-03,Online Shopping,642630,2025-07-06,256.83,14827.44
2025-07-05,ATM Withdrawal,619151,2025-07-07,793.45,14033.99
2025-07-08,ATM Withdrawal,953833,2025-07-09,89.6,13944.39
2025-07-10,Salary Deposit,946337,2025-07-13,1909.23,15853.62
2025-07-13,Online Shopping,458074,2025-07-14,653.4,15200.22
2025-07-14,Online Shopping,573677,2025-07-17,693.51,14506.71
2025-07-17,Utilities Payment,142217,2025-07-19,891.14,13615.57
2025-07-19,Salary Deposit,888469,2025-07-21,1382.32,14997.89
2025-07-22,Online Shopping,965101,2025-07-25,733.8,14264.09
2025-07-24,Utilities Payment,683222,2025-07-26,151.67,14112.42
2025-07-27,Salary Deposit,334613,2025-07-28,3594.22,17706.64
2025-07-30,Grocery Store,555153,2025-08-02,423.78,17282.86
2025-07-31,Utilities Payment,494046,2025-08-02,506.96,16775.9
2025-08-01,ATM Withdrawal,359601,2025-08-04,400.45,16375.45
2025-08-04,Online Shopping,359858,2025-08-07,84.27,16291.18
2025-08-06,Online Shopping,723687,2025-08-09,638.81,15652.37
2025-08-07,Grocery Store,253860,2025-08-08,668.67,14983.7
2025-08-08,Salary Deposit,642865,2025-08-09,2958.45,17942.15
2025-08-09,ATM Withdrawal,911872,2025-08-10,764.61,17177.54
2025-08-10,Grocery Store,590741,2025-08-13,523.04,16654.5
2025-08-12,Salary Deposit,444582,2025-08-15,3388.72,20043.22
2025-08-13,ATM Withdrawal,693754,2025-08-14,360.8,19682.42
2025-08-15,Grocery Store,465171,2025-08-17,918.57,18763.85
2025-08-16,Utilities Payment,325822,2025-08-19,117.92,18645.93
2025-08-19,Grocery Store,752508,2025-08-20,504.86,18141.07
2025-08-20,Online Shopping,615247,2025-08-23,269.09,17871.98
2025-08-22,Utilities Payment,522343,2025-08-24,528.09,17343.89
2025-08-23,Salary Deposit,929467,2025-08-26,4064.98,21408.87
2025-08-24,Online Shopping,590442,2025-08-26,766.66,20642.21
2025-08-25,ATM Withdrawal,658584,2025-08-27,978.95,19663.26
2025-08-28,ATM Withdrawal,276538,2025-08-31,295.5,19367.76
2025-08-29,Salary Deposit,252649,2025-08-30,1629.38,20997.14
2025-09-01,Salary Deposit,594813,2025-09-03,2351.8,23348.94
2025-09-03,Grocery Store,551821,2025-09-04,458.28,22890.66
2025-09-06,Grocery Store,993976,2025-09-08,593.58,22297.08
2025-09-08,Grocery Store,174390,2025-09-09,902.62,21394.46
2025-09-11,Utilities Payment,803926,2025-09-12,689.0,20705.46
2025-09-14,Grocery Store,948898,2025-09-15,473.28,20232.18
2025-09-17,Utilities Payment,606277,2025-09-20,148.73,20083.45
2025-09-18,Salary Deposit,474494,2025-09-20,4571.42,24654.87
2025-09-19,ATM Withdrawal,969944,2025-09-20,518.51,24136.36
2025-09-22,Utilities Payment,105170,2025-09-25,29.5,24106.86
2025-09-23,ATM Withdrawal,868999,2025-09-24,148.83,23958.03
2025-09-24,Utilities Payment,154892,2025-09-27,224.04,23733.99
2025-09-26,Utilities Payment,457540,2025-09-29,195.86,23538.13
2025-09-27,Online Shopping,209935,2025-09-30,947.22,22590.91
2025-09-28,Utilities Payment,298377,2025-09-29,733.15,21857.76
2025-09-29,Grocery Store,330783,2025-09-30,666.71,21191.05
2025-10-01,Utilities Payment,426113,2025-10-03,469.71,20721.34
2025-10-02,Online Shopping,146796,2025-10-05,773.25,19948.09
2025-10-05,Salary Deposit,225801,2025-10-08,4680.11,24628.2
2025-10-06,Online Shopping,598493,2025-10-08,512.74,24115.46
2025-10-08,Online Shopping,541567,2025-10-11,954.03,23161.43
2025-10-10,Utilities Payment,714932,2025-10-11,829.84,22331.59
2025-10-13,Online Shopping,310514,2025-10-16,758.61,21572.98
